-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-193.5000,29.5000,-461.5000
-189.5000,26.5000,-461.5000
-192.5000,27.5000,-462.5000
-193.5000,27.5000,-461.5000
-190.5000,29.5000,-463.5000
-190.5000,28.5000,-462.5000
-190.5000,28.5000,-462.5000
-192.5000,26.5000,-464.5000
-192.5000,28.5000,-462.5000
-193.5000,28.5000,-465.5000
-192.5000,27.5000,-463.5000
-192.5000,27.5000,-463.5000
-191.5000,27.5000,-458.5000
-194.5000,25.5000,-461.5000
-193.5000,29.5000,-464.5000
-191.5000,26.5000,-460.5000
-191.5000,26.5000,-460.5000
-195.5000,27.5000,-461.5000
-199.5000,30.5000,-461.5000
-200.5000,33.5000,-460.5000
-206.5000,32.5000,-458.5000
-210.5000,38.5000,-457.5000
-210.5000,38.5000,-457.5000
-210.5000,38.5000,-458.5000
-212.5000,40.5000,-456.5000
-215.5000,44.5000,-454.5000
-214.5000,46.5000,-456.5000
-214.5000,46.5000,-456.5000
-224.5000,47.5000,-452.5000
-233.5000,56.5000,-448.5000
-244.5000,68.5000,-444.5000
-250.5000,70.5000,-439.5000
-250.5000,70.5000,-439.5000
-259.5000,79.5000,-434.5000
-272.5000,86.5000,-431.5000
-273.5000,78.5000,-429.5000
-270.5000,76.5000,-427.5000
-283.5000,82.5000,-421.5000
-283.5000,82.5000,-421.5000
-301.5000,86.5000,-406.5000
-325.5000,89.5000,-395.5000
-339.5000,90.5000,-378.5000
-358.5000,90.5000,-368.5000
-358.5000,90.5000,-368.5000
-366.5000,93.5000,-354.5000
-377.5000,95.5000,-340.5000
-389.5000,99.5000,-329.5000
-401.5000,105.5000,-310.5000
-401.5000,105.5000,-310.5000
-417.5000,110.5000,-288.5000
-432.5000,116.5000,-265.5000
-442.5000,118.5000,-251.5000
-443.5000,113.5000,-243.5000
-454.5000,109.5000,-228.5000
-454.5000,109.5000,-228.5000
-462.5000,101.5000,-217.5000
-465.5000,90.5000,-214.5000
-468.5000,89.5000,-202.5000
-476.5000,77.5000,-186.5000
-476.5000,77.5000,-186.5000
-489.5000,76.5000,-151.5000
-498.5000,63.5000,-118.5000
-497.5000,68.5000,-99.5000
-498.5000,52.5000,-90.5000
-496.5000,38.5000,-82.5000
-496.5000,38.5000,-82.5000
-499.5000,19.5000,-82.5000
-493.5000,-8.5000,-77.5000
-488.5000,-54.5000,-60.5000
-476.5000,-92.5000,-44.5000
-476.5000,-92.5000,-44.5000
-475.5000,-107.5000,-49.5000
-471.5000,-105.5000,-60.5000
-469.5000,-118.5000,-62.5000
-465.5000,-136.5000,-47.5000
-465.5000,-136.5000,-47.5000
-462.5000,-154.5000,-31.5000
-459.5000,-154.5000,-10.5000
-459.5000,-159.5000,12.5000
-456.5000,-160.5000,35.5000
-458.5000,-160.5000,63.5000
-458.5000,-160.5000,63.5000
-455.5000,-156.5000,99.5000
-451.5000,-137.5000,128.5000
-458.5000,-118.5000,131.5000
-463.5000,-89.5000,148.5000
-463.5000,-89.5000,148.5000
-470.5000,-56.5000,152.5000
-472.5000,-40.5000,150.5000
-472.5000,-30.5000,159.5000
-469.5000,-19.5000,173.5000
-464.5000,-9.5000,207.5000
-464.5000,-9.5000,207.5000
-457.5000,3.5000,224.5000
-440.5000,21.5000,247.5000
-424.5000,32.5000,274.5000
-397.5000,53.5000,302.5000
-397.5000,53.5000,302.5000
-390.5000,42.5000,316.5000
-386.5000,23.5000,323.5000
-384.5000,-28.5000,323.5000
-378.5000,-88.5000,309.5000
-367.5000,-152.5000,300.5000
-367.5000,-152.5000,300.5000
-359.5000,-210.5000,270.5000
